Country,Product,Balance,Unit,Year,Month,Value
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Jan,7150
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Feb,7071
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Mar,7096
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Apr,7074
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,May,7031
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Jun,7084
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Jul,7100
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Aug,7082
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Sep,7089
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Oct,7101
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Nov,7170
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2002,Dec,7069
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Jan,7801
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Feb,8038
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Mar,8132
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Apr,9745
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,May,9443
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Jun,8314
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Jul,8239
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Aug,8282
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Sep,8251
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Oct,8287
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Nov,8045
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2003,Dec,8333
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2004,Jan,8038
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2004,Feb,8121
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2004,Mar,7987
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2004,Apr,7774
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2004,May,8695
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2004,Jun,9365
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2004,Jul,9491
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2004,Aug,9518
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2004,Sep,9369
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2004,Oct,9446
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2004,Nov,9598
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2004,Dec,9328
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2005,Jan,8897
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2005,Feb,9321
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2005,Mar,9204
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2005,Apr,9255
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2005,May,9432
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2005,Jun,9432
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2005,Jul,9501
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2005,Aug,9501
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2005,Sep,9445
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2005,Oct,9500
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2005,Nov,9478
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2005,Dec,9279
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2006,Jan,9561
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2006,Feb,9611
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2006,Mar,9521
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2006,Apr,9223
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2006,May,8930
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2006,Jun,9401
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2006,Jul,9237
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2006,Aug,9214
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2006,Sep,9137
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2006,Oct,9073
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2006,Nov,8932
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2006,Dec,8691
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2007,Jan,8377
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2007,Feb,8661
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2007,Mar,8854
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2007,Apr,8555
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2007,May,8680
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2007,Jun,8636
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2007,Jul,8956
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2007,Aug,8609
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2007,Sep,9074
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2007,Oct,9138
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2007,Nov,9029
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2007,Dec,9206
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2008,Jan,9204
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2008,Feb,9216
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2008,Mar,9124
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2008,Apr,9124
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2008,May,9006
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2008,Jun,9512
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2008,Jul,9471
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2008,Aug,9538
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2008,Sep,9463
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2008,Oct,9520
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2008,Nov,8606
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2008,Dec,8586
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2009,Jan,8102
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2009,Feb,8065
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2009,Mar,8358
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2009,Apr,8038
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2009,May,8213
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2009,Jun,8357
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2009,Jul,8243
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2009,Aug,8189
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2009,Sep,8191
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2009,Oct,8284
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2009,Nov,8219
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2009,Dec,7945
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2010,Jan,8188
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2010,Feb,8106
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2010,Mar,8181
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2010,Apr,8170
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2010,May,8066
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2010,Jun,8073
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2010,Jul,8177
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2010,Aug,8168
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2010,Sep,8063
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2010,Oct,8162
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2010,Nov,8259
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2010,Dec,8365
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2011,Jan,8514
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2011,Feb,9020
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2011,Mar,8655
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2011,Apr,8820
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2011,May,8895
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2011,Jun,9813
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2011,Jul,9606
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2011,Aug,9756
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2011,Sep,9436
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2011,Oct,9362
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2011,Nov,10047
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2011,Dec,9810
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2012,Jan,9871
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2012,Feb,9853
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2012,Mar,9923
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2012,Apr,10102
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2012,May,9807
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2012,Jun,10103
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2012,Jul,9801
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2012,Aug,9753
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2012,Sep,9724
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2012,Oct,9724
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2012,Nov,9492
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2012,Dec,9025
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2013,Jan,9050
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2013,Feb,9150
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2013,Mar,9136
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2013,Apr,9310
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2013,May,9657
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2013,Jun,9642
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2013,Jul,10034
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2013,Aug,10190
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2013,Sep,10123
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2013,Oct,9753
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2013,Nov,9746
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2013,Dec,9819
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2014,Jan,9767
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2014,Feb,9850
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2014,Mar,9566
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2014,Apr,9660
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2014,May,9705
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2014,Jun,9780
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2014,Jul,10005
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2014,Aug,9597
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2014,Sep,9704
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2014,Oct,9690
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2014,Nov,9610
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2014,Dec,9630
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2015,Jan,9680
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2015,Feb,9636
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2015,Mar,10294
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2015,Apr,10308
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2015,May,10333
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2015,Jun,10564
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2015,Jul,10361
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2015,Aug,10265
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2015,Sep,10226
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2015,Oct,10276
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2015,Nov,10186
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2015,Dec,10144
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2016,Jan,10230
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2016,Feb,10220
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2016,Mar,10224
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2016,Apr,10262
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2016,May,10270
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2016,Jun,10550
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2016,Jul,10673
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2016,Aug,10630
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2016,Sep,10650
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2016,Oct,10625
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2016,Nov,10720
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2016,Dec,10465
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2017,Jan,9796
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2017,Feb,10011
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2017,Mar,9951
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2017,Apr,9946
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2017,May,9880
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2017,Jun,10070
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2017,Jul,10010
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2017,Aug,9951
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2017,Sep,9973
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2017,Oct,10056
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2017,Nov,9891
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2017,Dec,9980
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2018,Jan,9983
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2018,Feb,9935
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2018,Mar,9907
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2018,Apr,9868
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2018,May,10030
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2018,Jun,10489
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2018,Jul,10288
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2018,Aug,10412
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2018,Sep,10502
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2018,Oct,10642
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2018,Nov,11093
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2018,Dec,10643
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2019,Jan,10243
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2019,Feb,10136
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2019,Mar,9787
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2019,Apr,9807
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2019,May,9670
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2019,Jun,9782
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2019,Jul,9580
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2019,Aug,9789
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2019,Sep,9129
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2019,Oct,10302
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2019,Nov,9890
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2019,Dec,9594
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2020,Jan,9748
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2020,Feb,9784
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2020,Mar,9733
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2020,Apr,12007
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2020,May,8486
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2020,Jun,7484
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2020,Jul,8479
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2020,Aug,8984
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2020,Sep,8982
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2020,Oct,8974
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2020,Nov,8972
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2020,Dec,8980
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2021,Jan,9103
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2021,Feb,8147
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2021,Mar,8138
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2021,Apr,8134
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2021,May,8544
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2021,Jun,8927
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2021,Jul,9474
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2021,Aug,9562
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2021,Sep,9662
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2021,Oct,9780
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2021,Nov,9912
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2021,Dec,10022
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2022,Jan,10145
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2022,Feb,10225
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2022,Mar,10300
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2022,Apr,10441
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2022,May,10538
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2022,Jun,10646
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2022,Jul,10815
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2022,Aug,11051
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2022,Sep,11041
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2022,Oct,10957
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2022,Nov,10468
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2022,Dec,10435
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2023,Jan,10453
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2023,Feb,10450
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2023,Mar,10464
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2023,Apr,10461
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2023,May,9959
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2023,Jun,9956
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2023,Jul,9013
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2023,Aug,8918
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2023,Sep,8975
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2023,Oct,8940
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2023,Nov,8818
Saudi Arabia,Crude Oil,Production,Thousand Barrels per day (kb/d),2023,Dec,8944
